0	0	0	0	i+u
1	0	0	0	p/2
2	0	0	0	x-q
3	14680320	0	0	q+v+q
4	0	0	0	t-q-q
5	14680320	0	0	q+v+q
6	0	0	0	x-q
7	0	0	0	p
8	0	0	0	x-q
9	14680320	0	0	q+v+q
10	0	0	0	t-q-q
11	14680320	0	0	q+v+q
12	0	0	0	x-q
13	0	0	0	p/2
14	0	0	0	w+r+s+i+u
15	0	0	0	p/2
16	0	0	0	x-q
17	14680320	0	0	q+v+q
18	0	0	0	y-t-q-q
19	14680320	0	0	q+v+q
20	0	0	0	x-q
21	0	0	0	p
22	0	0	0	x-q
23	14680320	0	0	q+v+q
24	0	0	0	y-t-q-q
25	14680320	0	0	q+v+q
26	0	0	0	x-q
27	0	0	0	3*p/2
28	0	0	0	w+r+s+i+u
29	0	0	0	p/2
30	0	0	0	x-q
31	14680320	0	0	q+v+q
32	0	0	0	t-q-q
33	14680320	0	0	q+v+q
34	0	0	0	x-q
35	0	0	0	p
36	0	0	0	x-q
37	14680320	0	0	q+v+q
38	0	0	0	t-q-q
39	14680320	0	0	q+v+q
40	0	0	0	x-q
41	0	0	0	p/2
42	0	0	0	w+r+s+i+u
43	0	0	0	p/2
44	0	0	0	x-q
45	14680320	0	0	q+v+q
46	0	0	0	y-t-q-q
47	14680320	0	0	q+v+q
48	0	0	0	x-q
49	0	0	0	p
50	0	0	0	x-q
51	14680320	0	0	q+v+q
52	0	0	0	y-t-q-q
53	14680320	0	0	q+v+q
54	0	0	0	x-q
55	0	0	0	3*p/2
56	0	1	0	w+s+r
