Sample:  $
User:  $
Input Power:  $
Objective:  $
Timestamp: 17-Jul-2019 16:02:28 $
DwellTime: 0.004 s $
MinX: -4.7904 $
MaxX: 5.9069 $
StepsX: 80 $
OffsetX: 0 $
MinY: -5.3451 $
MaxY: 4.8536 $
StepsY: 80 $
OffsetY: 0 $
MinZ: 45 $
MaxZ: 70 $
StepsZ: 200 $
OffsetZ: 0 $


0.75	0.75	1.5	0.75	0.75	1	0.5	0.5	0.25	0.5	0.25	1	0.75	0.75	0.5	0	0.5	0	0.25	0.75	0.75	0.75	0.75	0.5	0.75	1.25	2	2.5	0.75	0.5	0.5	1.25	2.75	3	1.5	2.5	2.75	1.25	0.75	2.5	1.5	1.25	1	0.75	2	3.25	2.5	2.75	4	4	5.25	1.25	2	0.75	1.75	0.75	0.75	0.75	0.5	0	0.75	0.5	0.25	0	0.5	1	0.25	1.5	2.5	2.5	1.75	1.75	1	0.75	0.75	1	0.75	1.5	1.75	0.75
0.25	0.5	1	1	0.25	0.5	1	0	0.25	0.5	0.75	0.25	0.75	0.25	0	0.75	0	0.5	0	0.25	0.25	0.25	0.5	1	1	2.25	1.5	0.25	1	0.75	1.25	0.25	1.5	1.5	3.25	1	0.5	0.25	1.25	1.5	1	0.5	1.75	1.25	1.25	5.25	3.25	3	3.75	6.5	2.25	4	2.5	1.75	2	0.5	1.25	1	0.5	0.25	0.75	0.5	0.75	0.25	0.75	0.25	0	0.5	1.5	1.75	2.75	2	1.25	0.5	1.25	1.25	2	0.75	0.75	1.25
1.25	1	0.75	0	0.75	0	0.25	0	0.25	0.5	0.5	0.25	0.5	0	0	1.75	0.75	0	0.25	0.5	0.25	0	0.25	1	1	1	0.75	0.5	0.5	0.5	0.5	0.75	0.75	0.75	0.5	0.5	0.25	0.25	1.75	0.75	1.75	1.25	1.25	1.5	1.25	1	2	2.25	4	4.5	4.25	2.75	2	1.75	1.75	1.75	0.75	0.5	0.75	0.5	1	0.5	0	0.75	0.75	1	0.75	0.5	1	0.5	2.75	2	1.75	2	0.5	1.25	1.5	1.75	2.25	2
1	0.5	1	0.5	0.5	0.25	0.5	1	0	0.25	0.25	0.5	0.25	0.5	0.25	0.25	0.5	0.75	0.5	0.5	0.5	0.25	0.75	1	1.25	1	0.5	0.5	0.25	1.25	0.25	0.25	0.5	0.75	0.25	0.5	1.25	1.5	1	1.5	1.75	3	3.75	1.5	1.25	2.25	3.25	4.5	5.25	4.5	3	1	2	1	2	0.75	0.5	0.25	0.25	0.25	0.25	0.75	0.25	0.5	1.25	2	0.5	1.25	1	2.5	1.75	0.75	1.75	1.25	1.75	0.25	1	2	0.5	2
1	0.75	1.25	0.5	0.5	0.75	0.5	0.5	0	0	0	0.5	0.25	0.25	0.5	0.25	0.5	0.75	1.25	0.25	0.5	0.75	0.25	0.75	0.25	0.25	0.5	0.75	1	0	1	0.5	0.5	0.25	0	0	0.5	1	2.75	5.5	6.5	4.5	4.5	2.75	1	1.75	4	2.5	4	3.5	2.75	1.25	0.25	0.5	0.75	0.75	1	0.75	0.25	0.25	0.5	1	0.75	0.75	1.25	1.25	1.75	0.25	0	1.75	0.75	1	1.5	2.75	1.25	1.25	1.5	1.75	0.5	1
1.5	0.25	0.5	0.75	0.75	0	0.25	0.5	0.5	0	0.5	0.25	0.75	0.5	0.5	0.75	0.25	0.25	0.25	0.25	0	0.5	1.25	0.75	0.25	0.25	0.5	0.5	0.5	0.25	1	1	0.75	1.5	0.75	0.75	1.75	3.75	6.5	9.25	9	6.5	4.5	3.5	2.5	2.5	4.25	5	5	4.25	3	2	1	1	0.25	1.25	1	0.25	0.25	0.5	1	0.5	0.25	0.5	0.75	1.25	0.25	0.75	0.5	1.25	0.5	1.5	1.5	1.75	2	0.5	2.25	1.5	1.25	2
0.5	0.5	1	0.5	0.25	0	2	0.25	1.5	0.25	0.5	1.25	0.25	0.5	0.75	1.75	0.25	0.5	0.5	0.5	0	0.5	0.5	0.25	0.75	0.25	0.75	0.25	1	0.25	1	1.25	2	1	0.75	0.5	3.5	3.5	8.75	8.25	7.75	6.5	3	4	2	1.75	1.25	1.25	1.5	3.25	2.25	2.5	2.75	1.5	0.75	1.25	0.5	1	0.75	0.25	0.5	0.25	0.75	0.5	0.25	0.25	1	0.5	0.5	0.75	0	0.5	1	3	3.25	1.5	1.25	2.25	1	0.75
1	1	0.25	0.5	1	0.75	0.5	0.75	1	0.75	0.25	0	0.25	1	1.5	0.25	0.5	0.25	0.25	0	0	0.25	0.75	0.5	0.25	1.5	0	1.25	0.5	0.75	0.25	0.5	0.75	0.5	1	2	3.75	2	5	2.75	3.75	1.5	1.75	1.25	1.75	1.5	0.75	1.25	1	2	2.75	1	0.75	1.75	1.5	0	0.5	0.25	0	0.5	0.25	0	0.75	0	0.25	1.75	1.5	1	1	0.75	0.25	1.5	2.25	2.25	2.5	2.5	1.5	2.5	0.75	0.75
0	1	0.5	0.5	0.5	1	1	0	0.5	0	0.25	0.25	0.25	0.25	1	0.5	0.5	0.5	1	1.5	0.25	0.25	0.25	1	1	0.5	0.5	1.75	0.25	1	0.75	0.5	0.75	0.25	0.5	1	2	1.5	2	1	1.75	1	0.75	1	0.5	0.5	0.5	1.25	0.25	0.25	1.25	1	1.5	2	1.25	0.5	0.25	0.75	0.5	2.25	1	0.5	1.5	0.25	0.5	0.25	0.25	1	0.25	1.75	0.25	0	1.25	2.75	4	1.25	1.25	2	2.25	1.5
0.75	0	0.5	0	1.25	0.25	0	0.75	0	0.25	0.75	0	0.25	1	0.75	0.5	0.25	0.5	0.25	0.5	1	0.25	0.25	0.25	1	0.5	0.75	0.5	0.5	0.75	0.25	0.25	0.75	1	1	0.75	1	2.75	3.25	2.75	2	3.5	3	3.75	1.75	1	1.25	1	1	1.5	2	1.75	1.5	1.75	1.25	1.75	0.75	0.5	0.25	0.25	1	0.5	0.5	0.75	0.25	0.25	0.75	0.5	2	1.25	0.75	0.5	1.25	1.5	1.25	4.75	3.25	1.5	1.25	1.5
1	1	0.75	0.5	0.25	1	0.25	0.25	0.25	0.5	0	0.5	0.5	0	0.5	1	0.25	0.75	0	0.75	0.75	0.75	0.75	1	0.75	0.5	0.25	1	0.25	0	0.5	1.25	0.5	0.5	1.5	1.75	5	2.75	3	1.5	3.25	4	3	2.75	2.75	1	1	1.5	1.5	2.25	2	1.25	1	0.75	1.5	0.5	1.25	0.5	0	0.25	1	1.25	0.75	1.25	0	0.75	0.75	0.5	1	1.25	0.75	0.5	1.75	0.75	2.75	4.5	3.5	2	1	1.25
0.75	0.5	0	0.25	1.5	0.25	0.75	0.5	0.25	1	0	0.75	0.25	0.25	0	0	1	0.5	0.25	0.75	1	0.5	0	0.25	0.75	0.5	0.75	1	0.5	0.25	0.25	0.5	1	3.75	2.75	2.5	2.5	2.25	1.75	4	3	2.5	2.75	2	1.75	1	1	0.75	1.5	1.75	1.25	1.5	1	0.25	1.25	0.25	0	0.5	1	0.75	0.25	1	1	0.5	1	1.25	0.5	0.75	1	1.5	0.75	0.25	1.5	0.75	2	3.25	3.25	1.5	2.5	1.25
0.75	1.25	0.25	1.25	0.75	0.75	0.75	1.25	0.75	0	0.5	0.5	0.5	0	0	0	1	0	0.25	1	1	0.5	1.25	1.75	0.5	0.25	0.5	0.5	0	0.25	0.75	0.75	2.75	3.25	5	4.5	1.75	0.75	1.75	1.25	0.75	0.75	0.5	3	1.75	0.5	1	1.25	1.5	2.25	2.5	1.75	1.5	0.75	0	0.5	1	2.5	1.25	1.75	0.25	0	0.75	0	0.75	0.5	1.25	0	1.25	1.5	0.25	0.5	0.5	1.75	1	3.75	3.5	3.25	2.5	1.5
0.5	1.5	1.25	0.75	1.75	0.25	0.25	1	0.5	0.25	0.25	0.75	1	0	0	0	0	0.25	0	1.25	0.25	1.5	2	0.25	0.75	0.75	1	1.5	1.5	1.25	1	3	4	4.75	4.75	3.5	3	2.75	4	4.25	5.25	3.25	5	3.25	2	1	1.25	0.5	2	0.5	2	0	0.75	0.75	0.25	0.25	0.25	2.25	1.5	0.75	0	0	1	0.5	1.25	0.5	0.25	0.25	1	0	0	0.25	0.75	1.5	1.25	1.75	2.75	1.75	1.5	1.5
0	1.25	0.25	0.75	0.75	0.25	0.5	0.5	0.25	0	0	1	0	1.25	1.25	1.25	0	0.25	0.5	0.5	0.25	0	1.5	0.5	0.25	0.5	0.25	1	0.5	1.25	2.75	4.75	4	3.5	4.5	9.25	9.5	6.5	5.5	9.25	13.75	14	13.25	4.5	1	0.5	0.75	0.75	0.25	1.25	1.75	0.25	1.25	0.25	1	0.75	1.75	2.25	1.25	1.5	0.5	0.5	0.25	0.5	0.25	0.25	0.5	0.25	0.5	1	0.5	1	0.75	1	1.75	2	3.25	2.5	1.25	1.5
0.75	2.25	1.75	1.5	1	0.5	1	0.75	0.5	1.25	0.75	1.25	0.75	0.75	0.75	1	0.5	0	0.75	0.5	0.5	0.75	1	1	1	0.75	0.25	1	0.25	0.5	2.25	2.5	3.25	4	11.25	12	7.75	6.5	4.75	11	15.25	18.5	19.75	11.75	2	1	0.75	0.5	0.25	0.25	0.75	1	0.5	0.25	0.5	0.75	1.5	2.5	1	1.5	1	0.25	0.5	0.5	0.75	0.5	0.75	0.25	0.25	0.25	0.5	0.25	0.25	0.75	1	1	2	2	0.75	0.25
