Sample:  $
User:  $
Input Power:  $
Objective:  $
Timestamp: 17-Jul-2019 16:03:03 $
DwellTime: 0.004 s $
MinX: -2.8506 $
MaxX: 4.6614 $
StepsX: 80 $
OffsetX: 0 $
MinY: -3.7997 $
MaxY: 3.9033 $
StepsY: 80 $
OffsetY: 0 $
MinZ: 45 $
MaxZ: 70 $
StepsZ: 200 $
OffsetZ: 0 $


0.5	0.25	0.25	0.5	0	0.25	0	0	0	0.5	0.5	0	0.25	0	1	0.25	0	0.75	0.25	0.5	0.5	0.25	0	0.25	0	0.5	0.25	0.5	0.25	0.75	1.5	0	0.5	0.25	0.25	0.5	0	0	0.5	0.25	0.25	0.25	0.25	0.5	0.75	0.5	0.5	0.5	1	0.25	1	0.75	0.5	0	0.5	0.75	0	0	0.25	1.25	0.75	0.75	0.25	0.25	0	0.25	0.25	1	0.75	0.5	0.5	0.25	0	0	0.5	1.25	1.5	1.25	1.75	1
0.25	0.5	0.25	0	0	0.25	0.25	0	0.75	1.25	0.5	1	0	0	0	0.5	0.25	0.25	0.5	0.25	0	1	0	0.5	0.75	0	0.5	1.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0.5	0.25	0.25	0	0.75	0.25	0.25	0	0.5	1	1	1	1	1.5	0	0	0.5	0.25	0	0.25	0	0.25	0.5	0.5	0.25	0.25	0.25	0	0	0	0.25	0.5	0.5	0.5	0.75	0.75	0.25	0	0.25	0.25	1	1.25	2	1.25	1.25
0.5	0.25	0.25	0	0.25	0	0	0.75	0.5	0.25	0.5	0.75	0.25	0.25	0.5	0	0.5	0.25	0.5	0.25	0.25	0.5	0.25	0.25	0	1	0.75	0.5	0.25	0.25	1.5	0	0	0.25	0	0	0.75	0.25	0.75	0.25	0.25	0	0.25	0.25	0.75	0.75	0.75	1.5	0	1.25	0.5	0.5	1	0.75	0	0.5	0.75	1.25	0.75	0.25	1	0.25	0.75	0.5	0.5	0.25	0.75	0.5	0	1.25	1	1.25	0.5	1	0.25	0.5	0.75	1.5	0.75	1.25
0.5	0.25	0	0.75	0.75	0	0.25	1	0.5	0.25	0.5	0.5	0.25	0.5	0.5	1.25	0.75	1	0.5	0.75	0.5	0	1	0.75	0	0	0.25	0.5	0	0.25	0	0	1	0.75	0.75	0.5	0.5	0.25	0.5	0.5	1	0	0	0.5	1.25	0.5	0.5	2	0	1.25	1.25	0.25	0.5	0	1	0	0.75	0	1	0.25	0.75	1.25	0.5	0.5	0.5	0.25	0.25	0	0	0.75	1.25	2	1	0.75	0.75	1.25	1	0.75	2.75	1.25
0	0	0	0.5	0.5	1.25	0.25	0.5	0.75	1.25	0.5	0	1.5	0.25	1	0.75	0.5	0.5	0.25	0.75	0	1.25	0	0.75	0.25	0.25	1	0.25	0.5	0.25	0	0	0.5	0	0.25	0.75	0.25	0	0.25	0.25	0	1	0	0.75	0	0.75	0.5	0.25	0.5	0.5	0.5	0.25	0	1	0.5	0.25	0.5	0.25	0.25	0.75	0.25	0.25	0.25	0.75	0.25	0.25	0	0	0.5	0.5	0.75	0.75	1.75	0.75	1	0.25	0.25	0.75	1.25	1
0.25	0.5	0.5	0.5	0.25	0.25	1	0.25	0.5	0.25	0.25	0.5	0	1	0.5	0.75	1	0.25	0.5	0.25	0.5	0.5	0.5	0.25	0.25	0.5	0.25	0.5	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0.5	0.5	0.5	0	0	1	0.25	0	0.5	1	1.25	1	0.75	0.75	0	0.5	0	0.25	0.5	0.5	0.25	0.25	0	0	0.5	0.75	0.5	0.25	0.5	1	0	0.5	0.25	0.75	0.75	0.5	0.5	2	1.25	1.25	0	0.25	0.25	2
0.75	0.25	0.5	0.25	0.5	1.25	0	0	0.5	0.5	0.25	0.25	0.5	0.25	0	0	1.25	0.75	0.25	1.5	1.75	0.75	0.25	0.25	0.5	0.75	0.5	0	0.25	0	0.25	0.5	1	0.75	0.5	0.25	0	0.25	0	0.5	0	0	0.25	0.5	0	0.25	1.5	0.5	0	0.25	0.5	0.25	0.5	0.25	1	0	0.25	0.75	0.75	0	0.5	0.5	0.25	0.5	0.25	1	0.5	0.75	1	0.75	0	0	0.5	1.25	1.25	2.25	1.5	0.75	0.75	0.75
0.25	0.25	0.25	0.5	0.5	0.5	1	1.25	0.5	0	0.25	0	0	0	0.75	1	0.5	1	1	2	2	1.25	0.25	1.25	1	1	1	0.5	1	0	0.25	0.5	0.75	0.25	0.25	1.25	0	0.5	1.75	0	0.5	0.25	0	1.75	0.75	0.5	0.25	0.75	0.25	1	0	0.5	0	0	0.25	1.25	0.75	0.25	0.25	0.5	0.75	0.5	0.5	1	0.5	0.5	2	0.5	1.5	0.5	0.75	0	0.25	0.5	1	0.75	1.75	0.5	0.25	1.25
0.25	0.75	0	0.5	0.75	0.5	0	0.5	0	0	0.25	0	0	0	0.5	0.75	0.5	0.25	1.5	1	1.25	1.25	0.25	0.5	0.75	1	0.75	1.25	0.75	0.25	0	0.5	0.5	0.5	0.5	0.5	0.75	0.5	1	0.5	0.5	0.75	0.75	0.5	0.5	0.5	0.5	0.5	0.5	1	0.25	0	0.5	0.25	0.5	0.5	1	1	0.75	0.5	1.25	0.75	1	1	0.75	1.5	0	0.75	0.5	0.75	1.25	0.75	0.5	0	0.25	0.5	1.25	1	1	0
0	0	0	0.25	0	0.75	0.25	0.25	0	0	0	0	1	0.25	0.5	0.5	0	0.75	1.75	1	0.75	1.25	0.25	0.75	0.5	0.75	0.75	0.75	0.5	0	0.5	0.25	0.75	1.5	0.25	0.5	1	0.25	0.25	0.5	1	0.5	0.5	1	0.5	0	0.5	1.25	0.75	0.25	0.5	0.5	0.75	0.75	0.75	0.25	1	0.25	0.75	0.75	0	0.5	0.75	1.75	0.75	0.5	0.75	1.25	1	0.25	0.5	0.25	0.5	0.25	0.25	1	1.25	1.5	0.75	2
